,Country,Year,Prevalence of raised blood pressure,Mean total cholesterol (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean HDL cholesterol (mmol/L),Crude diabetes prevalence,Prevalence of hypertension,Proportion of diagnosed hypertension among all hypertension,Proportion of treated hypertension among all hypertension,Proportion of controlled hypertension among all hypertension,Proportion of untreated stage 2 hypertension among all hypertension,Sex,Continent
42,AFG,1996,0.217110818,0.3016917949579343,0.3647360730082909,0.3949058895879164,0.0468723261744555,0.301959611929936,0.243065481598136,0.162196253816104,0.0349919559315239,0.269146241188624,1.0,AS
43,AFG,1996,0.199578058,0.3099718052651732,0.3738141893235711,0.4014537465667395,0.0541210208275039,0.343471911587302,0.453790853220144,0.296626115462026,0.0577926320034747,0.229884740907899,0.0,AS
44,AFG,1997,0.219214356,0.2995099963546301,0.3654601736773022,0.3915461958503142,0.0484620069100773,0.30286451720154,0.249236836980957,0.168652193830971,0.0371111503384481,0.26534254504989,1.0,AS
45,AFG,1997,0.20170051,0.3105659962473466,0.3763232077612197,0.401318301821746,0.0555391016383365,0.34466970126095,0.459430428396229,0.307112886966297,0.0616587897282684,0.225296292598706,0.0,AS
46,AFG,1998,0.221222623,0.2970544216243376,0.3658815256336178,0.3882696515847964,0.0500123875111808,0.303856015094035,0.255575113496752,0.175342959618118,0.0394226779845859,0.261642735955966,1.0,AS
47,AFG,1998,0.203728124,0.3109948529089541,0.3786347641397376,0.401227477446428,0.0569341949533974,0.346125596625153,0.46522401676671,0.318056225034358,0.0658410927679912,0.220798745863131,0.0,AS
48,AFG,1999,0.223165817,0.2943657436548426,0.3660179011021194,0.3850736947972825,0.0515934211096759,0.304973509577348,0.262043612664179,0.182302942786007,0.0419220302999812,0.257969603641958,1.0,AS
49,AFG,1999,0.205601989,0.3112905255545248,0.3807732758973901,0.401213861605273,0.0583663710901636,0.347882681182375,0.471349282762132,0.329328322507591,0.0702836725779443,0.216372427419552,0.0,AS
50,AFG,2000,0.224941913,0.2913841969249273,0.3658334900180551,0.3818549317313707,0.0531874234651624,0.306211331686218,0.268674573270338,0.189511788626766,0.0445939616130439,0.254422877146443,1.0,AS
51,AFG,2000,0.207252201,0.311504891234847,0.3828058794164819,0.4012520070387103,0.0598068403609522,0.349966408071078,0.477859486055898,0.341065427457994,0.0750146090191229,0.212003718108807,0.0,AS
52,AFG,2001,0.226372298,0.2881589760875251,0.3653693233945192,0.378591167623821,0.054702127223161,0.307194045222126,0.275327576206179,0.19689367432218,0.0474363204129568,0.250882214746611,1.0,AS
53,AFG,2001,0.208573751,0.3116081903951704,0.3846970607241526,0.4013238523359627,0.061191064198298,0.352050123064646,0.484747691397484,0.353229754167048,0.0801470864538299,0.207604589542986,0.0,AS
54,AFG,2002,0.227623566,0.2846883496886809,0.3646089742932625,0.3751612832219305,0.0564229974000415,0.308204610300405,0.2821528156488,0.204511538893131,0.0504957079449545,0.247520478562063,1.0,AS
55,AFG,2002,0.209684644,0.3115690264130704,0.386394163164226,0.4013518380123831,0.062778626871288,0.354413974572191,0.49197712546279,0.36584587028888,0.0855802177641745,0.203288133815199,0.0,AS
56,AFG,2003,0.228737753,0.2809898805495463,0.3636072146149584,0.3715735229937754,0.0582198790684941,0.309178835627041,0.289133156626694,0.212334350993186,0.0536977004642702,0.244362592442827,1.0,AS
57,AFG,2003,0.210707157,0.3113275233639549,0.3878570315911274,0.4012002139214018,0.0644619757596098,0.357034316060816,0.499560304400178,0.378862904477766,0.091389843455073,0.199015041801622,0.0,AS
58,AFG,2004,0.229873876,0.2771225908277925,0.3624322130637358,0.3677597852559774,0.0600398707094716,0.310077926390723,0.296244640422795,0.220186126534961,0.0570077099283371,0.241408504824501,1.0,AS
59,AFG,2004,0.211805855,0.3108808471053115,0.3891087246841629,0.4008575604636851,0.0662060651173784,0.359850046900918,0.507542267471934,0.392073278879447,0.0974633744189956,0.194805854628029,0.0,AS
60,AFG,2005,0.231034679,0.2730905233345795,0.3610890994280056,0.3637053199841383,0.0619298419859104,0.310813163978265,0.303423456839949,0.227993656183107,0.0603624860137981,0.23871830453762,1.0,AS
61,AFG,2005,0.213075853,0.3104174753067474,0.3903351130683548,0.4004756457703274,0.0680868506778561,0.362839769006453,0.515826967472403,0.405097445375999,0.103656026745758,0.190762602803559,0.0,AS
62,AFG,2006,0.232209552,0.2689051247249749,0.3595888738606319,0.3594083388694159,0.0638915253911463,0.311718119087778,0.310793199847303,0.235780010478818,0.0636573787041738,0.23653656552918,1.0,AS
63,AFG,2006,0.21452433,0.3098430035395201,0.3914187644627525,0.3999705207999017,0.0701018311120941,0.365903040748799,0.524199235834267,0.417505715355576,0.109753083716949,0.186921897884576,0.0,AS
64,AFG,2007,0.233328656,0.2644901664938148,0.3578369397221185,0.3548833137085602,0.0659880007090697,0.312490325693489,0.318360550134748,0.243379846681467,0.0668713620263128,0.234632126638434,1.0,AS
65,AFG,2007,0.216063902,0.3090106309747906,0.392212468231786,0.3992673292995589,0.0722821590570337,0.369100180146349,0.532849466046034,0.42919492623127,0.115681163897892,0.183289546452813,0.0,AS
66,AFG,2008,0.23437082,0.2598450369051095,0.3558279164582248,0.350267370745661,0.0680941349847158,0.313166650187607,0.326116580650635,0.250842422953963,0.0699833962785392,0.233055946163383,1.0,AS
67,AFG,2008,0.217629411,0.3079959767021965,0.3927653453087427,0.3984717545938724,0.0745224484051757,0.372471572991703,0.541711700220834,0.440091060850059,0.121195374088772,0.17993766637024,0.0,AS
68,AFG,2009,0.235246328,0.2549598126851846,0.3535398338041645,0.3455365947414809,0.0702988016305254,0.313840737944245,0.334110645496381,0.258172772894319,0.0729735596440844,0.231781134896684,1.0,AS
69,AFG,2009,0.219086471,0.3068215812980419,0.3931251855421334,0.3976046995706391,0.0768803328099666,0.376122748846071,0.550893761530381,0.450225488808451,0.12628638275391,0.176826095956336,0.0,AS
